,NP,F,CR
0,2.0,1.1014183992897972,1.0129216208669352
1,0.43478260869565216,0.7132715953887903,0.8028629798081199
2,1.15,1.1063347970497643,1.6692348464236215
3,0.9523809523809523,1.1213863073664603,0.7649672305790362
4,0.9130434782608695,0.9863085454939408,2.118016990833926
5,1.9166666666666667,1.0353563047855392,0.41628920399246006
6,0.6666666666666666,1.355319542947336,1.034142140739485
7,1.3846153846153846,0.9375098673468009,5.523733565779729
8,0.65,1.2619667869237927,0.7146859547115169
9,1.375,1.080638702504688,1.6700102154176135
10,2.6666666666666665,0.973618756065677,0.31639094682164426
11,0.6,0.9399212077122301,1.0898000857288659
12,0.5263157894736842,1.4639654277918452,3.1120174304644728
13,2.111111111111111,0.6100571923708588,0.4325773460297743
14,0.4090909090909091,1.274723562689208,2.2825554192707074
15,1.375,0.7686717840992869,0.8157672204069171
16,1.2307692307692308,1.1205189778142062,0.6611730794543105
17,0.7647058823529411,1.9100083643284,4.2333127656195915
18,2.0,1.1014183992897972,1.0129216208669352
19,0.43478260869565216,0.7132715953887903,0.8028629798081199
20,1.15,1.1063347970497643,1.6692348464236215
21,0.9523809523809523,1.1213863073664603,0.7649672305790362
22,0.9130434782608695,0.9863085454939408,2.118016990833926
23,1.9166666666666667,1.0353563047855392,0.41628920399246006
24,0.6666666666666666,1.355319542947336,1.034142140739485
25,1.3846153846153846,0.9375098673468009,5.523733565779729
26,0.65,1.2619667869237927,0.7146859547115169
27,1.0454545454545454,0.8321775323096331,2.597121928070789
28,2.4444444444444446,0.9717734913470933,0.262901125684694
29,0.75,1.245754417316434,1.3774701454880873
30,0.48,0.4387066203861423,3.7085759869666064
31,0.8620689655172413,1.826608980740449,0.7114507331558221
32,0.9354838709677419,0.5655892290924087,2.127458379125639
33,1.4761904761904763,1.9832430369955965,0.32714887471817705
34,2.1,0.8561619795129001,1.3810075465629568
35,0.35714285714285715,0.6106183621308536,0.7723474098125143
36,1.0454545454545454,0.8321775323096331,2.597121928070789
37,2.4444444444444446,0.9717734913470933,0.262901125684694
38,0.75,1.245754417316434,1.3774701454880873
39,0.48,0.4387066203861423,3.7085759869666064
40,0.8620689655172413,1.826608980740449,0.7114507331558221
41,0.9354838709677419,0.5655892290924087,2.127458379125639
42,1.4761904761904763,1.9832430369955965,0.32714887471817705
43,2.1,0.8561619795129001,1.3810075465629568
44,0.35714285714285715,0.6106183621308536,0.7723474098125143
